Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
julie-stain-friends,Julie Strain & Friends,"",Heavy Metal,Book,"",false,Title,Default Title,,,,,"",0,shopify,0,deny,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/julie_strain_and_friends.jpg?v=1545341795,1,,false,,,,,,,,,,,,,,,,,oz,,
the-herion-diaries-red-leather-slip-case-edition,Nikki Sixx - Heroin Diaries Red - Leather Slip Case Edition,"<p>The Art Package contains:</p>
<ul>
<li>Signed &amp; numbered Certificate of Authenticity, signed by Nikki Sixx</li>
<li>Signed &amp; numbered art print of the cover, signed by David Mack</li>
<li>Art sketch by one of the graphic artists</li>
<li>Additionally- 100 randomly selected fans will receive a personalized message from Nikki Sixx!</li>
</ul>
<p>The deluxe edition of the book contains:</p>
<ul>
<li>Bound in red leather with red leather Slipcase</li>
<li>Black satin placeholder ribbon</li>
<li>David Mack cover image plate inset on the front of the book.</li>
<li>Logo and title stamped in black chrome on the slipcase, the spine of the book, and the front of the book.</li>
<li>12″×12″×1″</li>
</ul>",Heavy Metal Mag,Book,"New Item, Nikki Sixx, onsale",true,Title,Default Title,,,,,"",1814,shopify,13,deny,bandwear-fulfillment,79.99,99.99,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_3314.jpg?v=1543375778,1,,false,,,,,,,,,,,,,,,,,lb,,
iron-maiden-legacy-of-the-beast-trade-paper-back,Iron Maiden Legacy of the Beast - Trade Paperback,"<h3>﻿﻿<span style=""color: #000000;""><u><i>This 128-page book collects all 5 issues of Iron Maiden: Legacy of the Beast comics!</i></u></span>
</h3>
<p><span style=""color: #000000;"">When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.</span></p>",Heavy Metal - No Sale,Book,"Iron Maiden, New Item, onsale",true,Title,Default Title,,,,,COMICS:IRON MAIDEN LEGACY OF THE BEAST TPB,680,shopify,600,deny,bandwear-fulfillment,7.99,9.99,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_cover.jpg?v=1536941008,1,,false,,,,,,,,,,,,,,,,,oz,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_01.jpg?v=1536942194,2,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_02.jpg?v=1536942211,3,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_03.jpg?v=1536942214,4,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_04.jpg?v=1536942217,5,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_05.jpg?v=1536942229,6,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_06.jpg?v=1536942232,7,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-trade-paper-back,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_TPB_Pages_1-12_Page_07.jpg?v=1536942235,8,,,,,,,,,,,,,,,,,,,,,
