Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
2009-calendar-2009-victoria-frances,<!--- 2009 --->Calendar 2009 - Victoria Frances,"12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar artwork to enjoy year round.",Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,22,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0731.JPG?v=1520799137,1,,false,,,,,,,,,,,,,,,,,lb,,
2007-calendar-2007-the-art-of-arthur-suydam,"<!--- 2007 --->Calendar 2007 - Arthur Suydam, The Barbarian","12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar artwork of Arthur Suydam to enjoy year round.",Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,4,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0730.JPG?v=1520799233,1,,false,,,,,,,,,,,,,,,,,lb,,
2006-calendar-2006-the-art-of-arthur-suydam,<!--- 2006 --->Calendar 2006 - The Art of Arthur Suydam,Head Games,Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,93,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0729.JPG?v=1520799277,1,,false,,,,,,,,,,,,,,,,,lb,,
2010-calendar-2010-zen-intergalactic-ninja,<!--- 2010 --->Calendar 2010 - Zen Intergalactic Ninja,"This calendar measures 12"" x 12"" and opens out to double size.",Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,44,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0728.JPG?v=1520799321,1,,false,,,,,,,,,,,,,,,,,lb,,
1999-calendar-1999-luis-royo,<!--- 1998 --->Calendar 1998 - Luis Royo,"12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar Royo artwork to enjoy year round.",Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,7,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0727.JPG?v=1520799411,1,,false,,,,,,,,,,,,,,,,,lb,,
2010-calendar-2010-arantza-sestayo,<!--- 2010 --->Calendar 2010 - Arantza Sestayo,"12"" x 12"" wall calendar, opens out double size. Ample room for recording important dates and events and stellar artwork of Arantza Sestayo to enjoy year round.",Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,11,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0726.JPG?v=1520799354,1,,false,,,,,,,,,,,,,,,,,lb,,
2010-calendar-2010-bisley,<!--- 2010 --->Calendar 2010 -Simon Bisley,"",Heavy Metal,Calendar,"Calendars, onsale, Simon Bisley",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0725.JPG?v=1520799383,1,,false,,,,,,,,,,,,,,,,,lb,,
1999-desk-diary-1,<!--- 1999 --->1999 Desk Diary - Countdown 2000,"",Heavy Metal,Calendar,"Back Issues, Fabian Schlaga, onsale, Tom Jilesen",false,Variant,Default Title,,,,,"",0,shopify,0,deny,bandwear-fulfillment,4.00,8.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/Screen_Shot_2017-10-06_at_1.48.24_PM.png?v=1507315784,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/Screen_Shot_2017-10-06_at_1.48.24_PM.png?v=1507315784,lb,,
1999-desk-diary,<!--- 1999 --->1999 Desk Diary,"",Heavy Metal,Calendar,"allowsale, Back Issues, Fabian Schlaga, onsale, Tom Jilesen",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,121,deny,bandwear-fulfillment,4.00,8.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/calendar1999desk.jpg?v=1507655664,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/calendar1999desk.jpg?v=1507655664,lb,,
shm5554,<!--- 2012 --->Calendar 2012 - Art of Heavy Metal Calendar,"The 2012 Art of Heavy Metal calendar measures 12"" x 12"" wall calendar, opens out double size. Each month also displays the previous and following calendar months for easy planning. Ample room for recording important dates and events and stellar fantasy artwork to enjoy year round!!<p></p>",Heavy Metal,Calendar,"Calendars, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2012heavymetal.jpg?v=1505679694,1,2012 Art of Heavy Metal Calendar,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2012heavymetal.jpg?v=1505679694,lb,,
shm5552,<!--- 2012 --->Calendar 2012 - Zombies,"The 2012 Zombies calendar measures 12"" x 12"" and opens out double size. Each month also displays the previous and following calendar months for easy planning.
<p>Enjoy 12 ghastly visions of the walking dead - packed with all the gore and spice you expect from Heavy Metal.</p>",Heavy Metal,Calendar,"Calendars, onsale",false,Variant,Default Title,,,,,"",0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2012zombies.jpg?v=1505679694,1,2012 Zombies Calendar (pre-order),false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2012zombies.jpg?v=1505679694,lb,,
shm5403,<!--- 2010 --->Calendar 2010 - H.R. Giger (morpheus),"12"" x 14"" wall calendar featuring a selection of the best of Giger's art.",Heavy Metal,Calendar,"Calendars, onsale",false,Variant,Default Title,,,,,"",0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/geiger2010_GIGER_CALENDAR.jpg?v=1505679693,1,2010 H.R. GIGER CALENDAR (morpheus),false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/geiger2010_GIGER_CALENDAR.jpg?v=1505679693,lb,,
shm5001,<!--- 2008 --->Calendar 2008 - Simon Bisley,"<p>12"" x 12"", opens out double size. Ample room for recording important dates and events and stellar artwork of Simon Bisley to enjoy year round.</p>",Heavy Metal,Calendar,"Calendars, onsale",true,Variant,Default Title,,,,,MERCHANDISE:Calendar,0,shopify,2,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2008_bisley.jpg?v=1505679763,1,Calendar 2008 Art of Simon Bisley,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2008_bisley.jpg?v=1505679763,lb,,
shm4860,<!--- 2008 --->Calendar 2008 - Victoria Frances,<p>Fantasy art from Victoria Frances in this superb 12 month 2008 Wall Calendar. Large Size approx. 30 x 30 cm (approx. 12 x 12 inches) opens to double the size!</p>,Heavy Metal,Calendar,"Calendars, onsale",false,Variant,Default Title,,,,,"",0,shopify,0,deny,bandwear-fulfillment,7.50,15.00,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/2008_frances.jpg?v=1505679763,1,Calendar 2008 Victoria Frances,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2008_frances.jpg?v=1505679763,lb,,
