Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,Complete Set of 14 Jack Kirby / Barry Geller - Lord of Light Blacklight Prints (Unsigned),"<p>Barry Geller &amp; Jack Kirby’s LORD OF LIGHT artwork is now appearing in color for the first time in Heavy Metal #276, and to celebrate, we_re offering a chance to own a piece of history in bold psychedelic blacklight!</p>
<p>14 works of art from the Lord of Light project were selected to be meticulously colored by master Mark Englert.</p>
<p>The print at right entitled _Planetary Control Room (right side)_ measures 24"" x 30"" is now in a limited edition series. Each print was limited to just 50 copies and several were previously pre sold at the San Diego Comic Con in July so these are now available in EXTREMELY LIMITED numbers.</p>
<p>Pieces by Geller &amp; Kirby, mostly unseen before now, are part of American history as they were the artwork used by the CIA for OPERATION: ARGO, which helped free American embassy workers during the Iranian coup in 1979.</p>
<p> </p>
<p>THERE IS ONLY ONE SET AVAILABLE</p>",Heavy Metal - No Sale,Classic Book,"Jack Kirby Lord of Light, Lord of Light, New Item, onsale, Rare-Collectible",true,Variant,Default Title,,,,,"",6804,shopify,1,deny,bandwear-fulfillment,2799.99,3499.99,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/6075377E-182F-4746-85AB-A89B5E2A702C.jpeg?v=1542121860,1,,false,,,,,,,,,,,,,,,,,lb,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/9EC7E0BC-3829-46C6-8D60-0BA20AFFFDA9.jpeg?v=1542121885,2,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/6E297F5C-F494-43F0-86B3-13EB0F2CDA80.jpeg?v=1542121887,3,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/48F1F34B-842F-4A7D-BC9B-1B2807807070.jpeg?v=1542121888,4,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/2235EA99-04C9-4753-830E-D20CE14E34C3.jpeg?v=1542121889,5,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/C463C452-316B-4782-A9B5-C9FDE4964951.jpeg?v=1542121890,6,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/D83592BE-E1F3-49FF-93E9-5EE757507EA5.jpeg?v=1542121891,7,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/8976E140-DF49-47D0-8DB8-05642B91E77F.jpeg?v=1542121892,8,,,,,,,,,,,,,,,,,,,,,
copy-of-jack-kirby-barry-geller-lord-of-light-blacklight-print-planetary-control-room-1-right,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/62BEA644-F17D-4945-84E8-4FE7B8EFFC6E.jpeg?v=1542121894,9,,,,,,,,,,,,,,,,,,,,,
narcopolis-continuum,Narcopolis: Continuum,"<p>In the near distant future, genius inventor Ben creates the ultimate drug. No ordinary narcotic, its effects will take Ben on a trip through time in an attempt to uncover the truth behind his father_s disappearance twenty years ago. In searching for answers, the past reveals its secrets that the young scientist won_t accept, even if it means risking everything he's worked for.</p>
<p>Based on the UK sci-fi thriller starring Elliot Cowan (Da Vinci's Demons), Elodie Yung (Marvel's Daredevil), James Callis (Battlestar Galatica), and Jonathan Pryce (Brazil)</p>
<p>Narcopolis: Continuum explores new corners of the world introduced in the movie.</p>",Heavy Metal - No Sale,Classic Book,onsale,true,Title,Default Title,,,,,COMICS:Narcopolis TPB,286,shopify,13,deny,bandwear-fulfillment,3.00,9.99,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/narcopolis-continuum-front.jpg?v=1517940756,1,,false,,,,,,,,,,,,,,,,,oz,,
