Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
iron-maiden-legacy-of-the-beast-halo-face-print-silver-foil,Iron Maiden Legacy of the Beast Halo Face Print (Mirrored Foil),"<p>13x19” Iron Maiden Screaming Eddie Print on Mirrored foil.</p>
<p>The words “Legacy of the Beast” are written in Japanese across the top.</p>
<p>Only 100 made.  Signed by Llexi Leon.</p>",Heavy Metal,Poster,"Dcon 2018, Iron Maiden, onsale, Posters, Signed",true,Title,Default Title,,,,,Iron Maiden Print - Mirrored Foil,454,shopify,81,deny,bandwear-fulfillment,27.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/Eddie-Print-Silver.jpg?v=1543070320,1,,false,,,,,,,,,,,,,,,,,lb,,
iron-maiden-legacy-of-the-beast-halo-face-print-silver-foil,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_4803.jpeg?v=1543070320,2,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-halo-face-print,Iron Maiden Legacy of the Beast Halo Face Print (Rainbow Foil Variant),"<p>13x19” Iron Maiden Screaming Eddie Print on Rainbow foil.</p>
<p>The words “Legacy of the Beast” are written in Japanese across the top.</p>
<p>Only 50 made.  Signed by Llexi Leon.</p>",Heavy Metal,Poster,"Dcon 2018, Iron Maiden, New Item, onsale, Posters, Signed",true,Title,Default Title,,,,,Iron Maiden Print - Rainbow Foil,454,shopify,10,deny,bandwear-fulfillment,45.00,50.00,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/Eddie-Print-Rainbow.jpg?v=1543070373,1,,false,,,,,,,,,,,,,,,,,lb,,
iron-maiden-legacy-of-the-beast-halo-face-print,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_4664.jpg?v=1543070373,2,,,,,,,,,,,,,,,,,,,,,
iron-maiden-legacy-of-the-beast-ii-2018-sdcc-signed-print,Iron Maiden Legacy of the Beast II 2018 SDCC Signed Print,"<p>This 2018 San Diego Comic-Con Exclusive print is drawn &amp; signed by artist Kevin West and limited to 100 units.  Print is 16x25"" and comes on deckled edge paper/</p>
<p><span style=""text-decoration: underline;""><strong><span style=""color: #ff0000; text-decoration: underline;"">***LIMITED TO 30 UNITS ONLINE***</span></strong></span></p>",Heavy Metal - No Sale,Poster,"Iron Maiden, onsale, Posters",true,Title,Default Title,,,,,MERCHANDISE:Iron Maiden 2 Print,907,shopify,16,deny,bandwear-fulfillment,59.94,66.60,true,true,"",https://cdn.shopify.com/s/files/1/2358/6005/products/received10156657123880942.png?v=1531679094,1,,false,,,,,,,,,,,,,,,,,lb,,
shm5385,MISSING TITLE,"",Heavy Metal,Poster,"onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,360.00,400.00,true,true,,,,,false,,,,,,,,,,,,,,,,,lb,,
shm5585,Royo Poster #01 Provoking Eyes,"<p>Linen Paper19.75"" x 27.5""</p>",Heavy Metal,Poster,"onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,12.59,13.99,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/royo01.jpg?v=1505679957,1,Royo Poster #01 Provoking Eyes,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/royo01.jpg?v=1505679957,lb,,
shm5555,Royo Poster #31 Urano\'s Drop,"27.5"" x 19.75"" on linen paper <p>A stunning addition to the Royo line up - entitled ""Urano's Drop""</p>",Heavy Metal,Poster,"onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,12.59,13.99,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/Royo_poster_31.jpg?v=1505679969,1,Royo Poster #31 Urano's Drop,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/Royo_poster_31.jpg?v=1505679969,lb,,
shm5534,Royo poster - FAKK2 Julie,"Luis Royo promotional poster image - FAKK2 featuring Julie Strain<p>We just found a sash of these popular posters first released years ago!!</p><p>Luis Royo is amongst our most popular artists with dozens of Heavy Metal titles; check them all        Out !!<a href=""/shm/advanced_search_result.php?keywords=Royo&amp;x=0&amp;y=0"">A complete line up of Royo stuff </a></p>",Heavy Metal,Poster,"onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,8.96,9.95,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/roypofakk2poster.jpg?v=1505679955,1,Royo poster - FAKK2 Julie,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/roypofakk2poster.jpg?v=1505679955,lb,,
shm5532,Royo Poster #36 The Orcs Cemetery,"Gorgeous new Royo print entitled ""The Orcs Cemetery""<p>linen print measuring 26.75"" x 19.5""</p>",Heavy Metal,Poster,"onsale, Posters",false,Variant,Default Title,,,,,,0,shopify,0,deny,bandwear-fulfillment,12.59,13.99,true,true,,https://cdn.shopify.com/s/files/1/2358/6005/products/Royoposter36.jpg?v=1505679973,1,Royo Poster #36 The Orcs Cemetery,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/Royoposter36.jpg?v=1505679973,lb,,
