issue_id,issue_name,issue_description,issue_type,issue_published_month,issue_published_year,issue_cover_variant,issue_special_issue,issue_tags,issue_front_image,issue_front_image_name,issue_front_image_persons,issue_back_image,issue_back_image_name,issue_back_image_persons,chapter_id,chapter_page,chapter_name,chapter_subtitle,chapter_description,chapter_persons
,1941 the Illustrated Story,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/1941.jpg?v=1505679642,,,,,,,,,,,
,25 Years of Covers (Artbook),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/coverbook.jpg?v=1505679493,,,,,,,,,,,
,Adios Palomita,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/adiospalomita.jpg?v=1505679697,,,,,,,,,,,
,Age of Darkness,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ageofdarkness.jpg?v=1505679698,,,,,,,,,,,
,Alex Horley Sketchbook (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/HorleySol.jpg?v=1505679699,,,,,,,,,,,
,Anibal Cinq - Jodorowsky,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/anibal.jpg?v=1505679701,,,,,,,,,,,
,Anita Bomba #1,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/asfarasicanremember.jpg?v=1505679701,,,,,,,,,,,
,Anita Bomba #2,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/0604poorcover.jpg?v=1505679702,,,,,,,,,,,
,Anita Bomba #3,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/onedayiquit.jpg?v=1505679703,,,,,,,,,,,
,Anita Bomba #4,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/lifeistooshort.jpg?v=1505679703,,,,,,,,,,,
,Apocalypse The Eyes of Doom by Gimenez,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/apocolypseeyes.jpg?v=1505679703,,,,,,,,,,,
,Art of Basil Gogos (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/GogosSC225.jpg?v=1505679707,,,,,,,,,,,
,Avatar - Book 1 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Avatar_1_cover.jpg?v=1505679727,,,,,,,,,,,
,Avatar - Book 2 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Avatar_2_cover.jpg?v=1505679727,,,,,,,,,,,
,Avatar - Book 3 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Avatar_3_cover.jpg?v=1505679728,,,,,,,,,,,
,Azpiri -  Wet Dreams II,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/wetdreamsII.jpg?v=1505679728,,,,,,,,,,,
,Azpiri - Demon Wind,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/demonwind.jpg?v=1505679728,,,,,,,,,,,
,Azpiri - Lorna : Mouse Club,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/lorna.jpg?v=1505679729,,,,,,,,,,,
,Azpiri - Lorna : The Black Castle,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/azpiriblackcastle.jpg?v=1505679730,,,,,,,,,,,
,Azpiri - Lorna : Eye of Dart-An-Gor,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/dartangor.jpg?v=1505679730,,,,,,,,,,,
,Azpiri - Lorna : Leviathan,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/leviathan.jpg?v=1505679730,,,,,,,,,,,
,Azpiri - Lorna : The Ark,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/theark.jpg?v=1505679731,,,,,,,,,,,
,Azpiri - Reflections,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/Reflections.jpg?v=1505679731,,,,,,,,,,,
,Azpiri Sketchbook Limited Edition,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/azpiri_sketch_686a8aef-c50b-4534-9c2e-c826f51a6222.jpg?v=1505679732,,,,,,,,,,,
,Bird : Book 2 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Bird2.jpg?v=1505679735,,,,,,,,,,,
,Bisley Dead Dawn,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/gothart002a_477e672e-4d2c-4a5d-b169-bb8491e1ddac.jpg?v=1505679736,,,,,,,,,,,
,Bisley Sexy Asp painting,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/bizleyegyptian.jpg?v=1505679736,,,,,,,,,,,
,Black Sabbath:The Ozzy Osbourne Years,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/BlackSabbath.jpg?v=1505679752,,,,,,,,,,,
,Bloody Winter (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Bloody_Winter_cover.jpg?v=1505679753,,,,,,,,,,,
,Borgia #1 : Blood For The Pope by Manara & Jodorowsky,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/borgia_1ae11546-cc6b-462a-af8d-06debdddc93e.jpg?v=1505679532,,,,,,,,,,,
,Borgia #2 : Power & Incest by Manara & Jodorowsky,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/borgia2_bab5d988-2bf5-45fc-a7d6-8d3eb6783f95.jpg?v=1505679532,,,,,,,,,,,
,Borgia #3 : Flames From Hell by Manara & Jodorowsky,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/borgiathree.jpg?v=1505679533,,,,,,,,,,,
,Bound to Please-Frollo,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/frollo.jpg?v=1505679756,,,,,,,,,,,
,Boy Vampire Book 1 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Boy_Vampire_1_cover.jpg?v=1505679757,,,,,,,,,,,
,Boy Vampire Book 2 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Boy_Vampire_2_cover.jpg?v=1505679757,,,,,,,,,,,
,Boy Vampire Book 3 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Boy_Vampire_3_cover.jpg?v=1505679757,,,,,,,,,,,
,Boy Vampire Book 4 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Boy_Vampire_4_cover.jpg?v=1505679758,,,,,,,,,,,
,Brodie's Law,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/brodies_law.jpg?v=1505679759,,,,,,,,,,,
,Bullets Bombs and Babes,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/bulletsbabes.jpg?v=1505679759,,,,,,,,,,,
,Cain (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Cain_cover.jpg?v=1505679760,,,,,,,,,,,
,Chaos : Lone Sloane - Philippe Druillet,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/Chaos.jpg?v=1505679764,,,,,,,,,,,
,Chocolate & French Fries (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Chocolate_cover.jpg?v=1505679766,,,,,,,,,,,
,Curt Swan: A Life in Comics (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/curt_swan.jpg?v=1505679770,,,,,,,,,,,
,Dayak: Ghetto 9 - Adamov,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/dayakghetto9.jpg?v=1505679773,,,,,,,,,,,
,Desperadoes,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/desperados.jpg?v=1505679775,,,,,,,,,,,
,Docteur Mystïä?__re Book 1 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Dr_Mystere_1_cover.jpg?v=1507762556,,,,,,,,,,,
,Docteur Mystïä?__re Book 2 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Dr_Mystere_2_cover.jpg?v=1507762556,,,,,,,,,,,
,Dracula by Hippolyte,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hmdracula.jpg?v=1505679462,,,,,,,,,,,
,DUNE Signed Print by Giger (morpheus),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/geigerDUNE.jpg?v=1505679786,,,,,,,,,,,
,Eden by Vince,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/edenhard.jpg?v=1505679786,,,,,,,,,,,
,Elixir 1 by Melanie Delon,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/delonelixir.jpg?v=1505679462,,,,,,,,,,,
,Elixir 2 by Melanie Delon,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/elixir2cover.jpg?v=1505679463,,,,,,,,,,,
,Excess: Art of Michael Golden (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/SoftCovArtGolden250.jpg?v=1505679787,,,,,,,,,,,
,FAKK 2: Heavy Metal Novel,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/fakk2novel.jpg?v=1505679795,,,,,,,,,,,
,Favole 1 Victoria Frances,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/Favolebook1.jpg?v=1505679797,,,,,,,,,,,
,Favole 2 Victoria Frances,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/Favolebook2.jpg?v=1505679797,,,,,,,,,,,
,Favole 3 Victoria Frances,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/51g6EmVm6nL.jpg?v=1507313696,,,,,,,,,,,
,Fistful of Blood,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/fistfullofblood_54f2d7ff-9bff-411f-889f-1fcd87dcfefa.jpg?v=1505679798,,,,,,,,,,,
,Flesh Wounds,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/fleshwounds.jpg?v=1505679800,,,,,,,,,,,
,Fluorescent Black Limited Edition Hard Cover,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/florescent_black_f03e0080-eeba-42a9-b4c5-401f8daa7078.jpg?v=1505679800,,,,,,,,,,,
,Fluorescent Black Soft Cover,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/fb-sc-so.jpg?v=1505679801,,,,,,,,,,,
,Fluorescent Black Soft Cover,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/florescent_black_092021fc-2283-4825-9d10-345b50823a18.jpg?v=1508960514,,,,,,,,,,,
,Fluorescent Black Soft Cover (Signed),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/florescent_black.jpg?v=1505679802,,,,,,,,,,,
,Forgotten 1 - Cris Ortega,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/forgotten1cover.jpg?v=1505679464,,,,,,,,,,,
,Forgotten 2 - Cris Ortega,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/forgotten2cover.jpg?v=1505679465,,,,,,,,,,,
,Forgotten 3 - Cris Ortega,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/forgotten3cover.jpg?v=1505679466,,,,,,,,,,,
,Four Horsemen of the Apocalypse - Book 1,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/4h_final_cover_a74b9a9c-a296-43aa-a10b-ab2c8e88a2f1.jpg?v=1505679470,,,,,,,,,,,
,Four Horsemen of the Apocalypse - Book II The Chosen,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/book2.jpg?v=1505679804,,,,,,,,,,,
,Four Horsemen of the Apocalypse - Book III End of Days,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/4h3.jpg?v=1505679807,,,,,,,,,,,
,Four Horsemen of the Apocalypse Limited Edition Hard Cover,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/4h_final_cover_6f77e5a7-ede2-4874-a8cf-6c1d9ede8429.jpg?v=1505679807,,,,,,,,,,,
,Frank Frazetta White Indian (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/white_indian.jpg?v=1505679808,,,,,,,,,,,
,Frazetta: Johnny Comet (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/johnny_commet.jpg?v=1505679808,,,,,,,,,,,
,Frazetta: The Definintive Reference (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/FrazettaBOOKmed2.jpg?v=1505679809,,,,,,,,,,,
,Frezzato Originals - Keepers of the Maser,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_0301.JPG?v=1510776580,,,,,,,,,,,
,Frezzato Sketchbook,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/frezsketch.jpg?v=1505679809,,,,,,,,,,,
,Frezzato-Keepers of the Maser 1,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/2ndmoon_32b98262-71c4-49ab-bd87-055facc6e9bd.jpg?v=1505679809,,,,,,,,,,,
,Frezzato-Keepers of the Maser 2,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ilseofdwarveshard_4383113b-7a5a-4310-8692-b4b42f8f8ae6.jpg?v=1505679810,,,,,,,,,,,
,Frezzato-Keepers of the Maser 3,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/eyeofsea_3a98ad34-dd0a-4c40-8684-a7f120c351db.jpg?v=1505679811,,,,,,,,,,,
,Frezzato-Keepers of the Maser 4,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/The_Keepers_of_the_Maser_4.jpg?v=1505679812,,,,,,,,,,,
,Frezzato-Keepers of the Maser 5,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/keepers5_09ac4ecb-72af-4425-b4ce-db3dd46e98fc.jpg?v=1505679812,,,,,,,,,,,
,Frezzato-Keepers of the Maser 7,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/maser7_f6c1bac8-f7e7-4e52-ba0a-ae6688470fda.jpg?v=1505679813,,,,,,,,,,,
,Frezzato-Margot in Badtown,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/margotinbadtown.jpg?v=1505679813,,,,,,,,,,,
,Frezzato-Margot Queen of the Night,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/margotqueen.jpg?v=1505679814,,,,,,,,,,,
,Genetic Grunge Book 2 (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Genetic2.jpg?v=1505679815,,,,,,,,,,,
,Gothic Fall,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/gothic_fall.jpg?v=1505679466,,,,,,,,,,,
,Gypsy Collected,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/gypsy.jpg?v=1505679817,,,,,,,,,,,
,Hal Foster Prince of Illustrators (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hal_foster.jpg?v=1505679820,,,,,,,,,,,
,Hard Story by Horatio Altuna,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hardstory.jpg?v=1508899104,,,,,,,,,,,
,Heavy Metal Presents Moebius,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hm-presents-moebius.jpg?v=1505679825,,,,,,,,,,,
,Heavy Metal: Greatest Hits,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/heavymetalhits.jpg?v=1505679826,,,,,,,,,,,
,Hoax Hunters Collected Set - Cover A,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hh-set-1.jpg?v=1505679835,,,,,,,,,,,
,Hoax Hunters Collected Set - Cover B,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hh-set-2.jpg?v=1505679835,,,,,,,,,,,
,Hord by Morovan & Whamo,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/hord.jpg?v=1505679836,,,,,,,,,,,
,Innocent Images,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/innocentimages.jpg?v=1505679857,,,,,,,,,,,
,Insomnia by Sokolova,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/sokolova_insomnia.jpg?v=1505679467,,,,,,,,,,,
,Jeremiah (SAF),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/saf_Jeremiah_cover.jpg?v=1505679870,,,,,,,,,,,
,Joe Kubert:How to Draw From Life (VP),,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/KubertLifeWeb.jpg?v=1505679870,,,,,,,,,,,
,Julie Nightmare on Pinup Street,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/nightmarestreet.jpg?v=1505679872,,,,,,,,,,,
,Julien Boisvert Volume 1: Neekibo,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/neekibo.jpg?v=1505679873,,,,,,,,,,,
,Julies Ultimate Penthouse Collection,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ultimatepenthouse.jpg?v=1505679874,,,,,,,,,,,
,Last Man Standing - EXCLUSIVE ONLINE LIMITED EDITION,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/lms_collect.jpg?v=1505679480,,,,,,,,,,,
,Last Man Standing - HARDCOVER,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/lms_hard.jpg?v=1505679878,,,,,,,,,,,
,Last Man Standing - SOFTCOVER,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/lms_soft.jpg?v=1505679480,,,,,,,,,,,
,Ledroit & Requiem Three Book Set,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ledroit_special.gif?v=1505679879,,,,,,,,,,,
,Liberatore- Ranx #1,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ranx1.jpg?v=1505679879,,,,,,,,,,,
,Liberatore- Ranx #2,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ranx2.jpg?v=1505679880,,,,,,,,,,,
,Liberatore- Ranx #3,,book,1,70,1,70,,https://cdn.shopify.com/s/files/1/2358/6005/products/ranx3.jpg?v=1505679880,,,,,,,,,,,
