issue_id,issue_name,issue_description,issue_type,issue_published_month,issue_published_year,issue_cover_variant,issue_special_issue,issue_tags,issue_front_image,issue_front_image_name,issue_front_image_persons,issue_back_image,issue_back_image_name,issue_back_image_persons,chapter_id,chapter_page,chapter_name,chapter_subtitle,chapter_description,chapter_persons
,1985: Black Hole Repo #1 - Cover A,,comic,1,70,,,1985: Black Hole Repo,https://cdn.shopify.com/s/files/1/2358/6005/products/1985_01_Cover_A.jpg?v=1508342397,,,,,,,,,,,
,1985: Black Hole Repo #1 - Cover B,,comic,0,0,,,1985: Black Hole Repo,https://cdn.shopify.com/s/files/1/2358/6005/products/1985_01_Cover_B.jpg?v=1508342425,,,,,,,,,,,
,Aftermath Big Clean #1 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0011.jpg?v=1519761400,,,,,,,,,,,
,Aftermath Big Clean #2 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0008.jpg?v=1519761436,,,,,,,,,,,
,Aftermath Big Clean #2 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0009.jpg?v=1519761473,,,,,,,,,,,
,Aftermath Big Clean #3 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0014.jpg?v=1519761507,,,,,,,,,,,
,Aftermath Big Clean #3 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0015.jpg?v=1519761672,,,,,,,,,,,
,Aftermath Big Clean #4 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/Aftermath-BigClean-coverA.jpg?v=1542222030,,,,,,,,,,,
,Aftermath Big Clean #5 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0010.jpg?v=1519761549,,,,,,,,,,,
,Aftermath Big Clean #5 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018.jpg?v=1519761583,,,,,,,,,,,
,Biz and Buzz,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF03272018.jpg?v=1522682749,,,,,,,,,,,
,Hoax Hunters #1 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/hh1a.jpg?v=1505679828,,,,,,,,,,,
,Hoax Hunters #1 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/hh1b.jpg?v=1505679829,,,,,,,,,,,
,Hoax Hunters #1 - Cover C,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/hh1c.jpg?v=1505679829,,,,,,,,,,,
,Hoax Hunters #2,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/HH2_cover.jpg?v=1505679830,,,,,,,,,,,
,Hoax Hunters #3,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/hoax_hunters_03_400wide.jpg?v=1505679830,,,,,,,,,,,
,Hoax Hunters #4,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/hoax_hunters_04_400wide.jpg?v=1505679830,,,,,,,,,,,
,Hoax Hunters #5,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/HH_5_cover.jpg?v=1505679833,,,,,,,,,,,
,Hollywood Undead Origins,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF03092018.jpg?v=1520621932,,,,,,,,,,,
,Interceptor #1 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor-1a-signed_1024x1024_2x_974e7668-ecfe-416f-a4dd-32ba6416a44b.jpg?v=1519845458,,,,,,,,,,,
,Interceptor #1 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0007.jpg?v=1519760687,,,,,,,,,,,
,Interceptor #2,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor2cover.jpg?v=1505679839,,,,,,,,,,,
,Interceptor #2 - Signed,,comic,0,0,,,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor-2-signed.jpg?v=1505679840,,,,,,,,,,,
,Interceptor #3 - Cover A,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02282018_0011.jpg?v=1519844188,,,,,,,,,,,
,Interceptor #3 - Cover B,,comic,0,0,,,,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02282018_0012.jpg?v=1519844217,,,,,,,,,,,
